datetime,BTC_fwd_1h_log_ret,BTC_fwd_1d_log_ret,BTC_fwd_7d_log_ret
2025-08-04 08:00:00+00:00,-0.0009015970258328,-0.0061571224104298,0.0581092438145169
2025-08-04 09:00:00+00:00,-0.0020649354055739,-0.0025693797519801,0.0601559789117981
2025-08-04 10:00:00+00:00,-0.000667095862603,0.0031478343308354,0.0600950395535193
2025-08-04 11:00:00+00:00,0.0022281948371038,0.0050742888067435,0.0587759698583695
2025-08-04 12:00:00+00:00,-0.0004680610327347,0.0027151616627109,0.0513425965676293
2025-08-04 13:00:00+00:00,0.0041307395685603,-0.0045114321854484,0.0441778711947944
2025-08-04 14:00:00+00:00,-0.001514187028662,-0.004773426625725,0.0430347495738466
2025-08-04 15:00:00+00:00,0.0007169935242924,-0.0151661883517483,0.0465863636187996
2025-08-04 16:00:00+00:00,0.004115507228912,-0.0168097256592002,0.0465085209431506
2025-08-04 17:00:00+00:00,-0.0009032884959951,-0.0188635014456875,0.0394596083318169
2025-08-04 18:00:00+00:00,-0.0021746583577321,-0.0138951999775559,0.0366729937118877
2025-08-04 19:00:00+00:00,-0.0016598614433114,-0.0116029379676739,0.0411087243021715
2025-08-04 20:00:00+00:00,0.0003379658334531,-0.0101726880430612,0.0369454137452211
2025-08-04 21:00:00+00:00,0.002743608585059,-0.0097989732741505,0.0345709906423999
2025-08-04 22:00:00+00:00,0.001954059392812,-0.0133717584616165,0.0308843488367014
2025-08-04 23:00:00+00:00,-0.0024826670546182,-0.0121266987712705,0.0303821527084027
2025-08-05 00:00:00+00:00,-0.0014902909782108,-0.0081701311570999,0.0312016575915724
2025-08-05 01:00:00+00:00,-0.0015847770605692,-0.0087827384580272,0.0348638285570687
2025-08-05 02:00:00+00:00,0.0001409947269589,-0.0077050154077105,0.0366845266686889
2025-08-05 03:00:00+00:00,-0.0040745170809703,-0.0095667853114182,0.0372254047793788
2025-08-05 04:00:00+00:00,0.0006696658169578,-0.0065294230546611,0.0394913608659788
2025-08-05 05:00:00+00:00,0.000661180020898,-0.0079135829037662,0.0406208577178075
2025-08-05 06:00:00+00:00,-0.0020641292877671,-0.0022894720829405,0.0379321204039849
2025-08-05 07:00:00+00:00,-0.0018059658308562,-0.0007774273395939,0.0401441631324926
2025-08-05 08:00:00+00:00,0.0026861456326168,0.0022946442946933,0.0432096936126475
2025-08-05 09:00:00+00:00,0.0036522786772417,-0.0028951796593328,0.0389906914020018
2025-08-05 10:00:00+00:00,0.001259358613305,-0.0052279487690445,0.0319909025657093
2025-08-05 11:00:00+00:00,-0.0001309323069287,-0.0066702633483518,0.0309913626438796
2025-08-05 12:00:00+00:00,-0.0076946548808941,-0.0051269015585448,0.0316533438057808
2025-08-05 13:00:00+00:00,0.0038687451282837,-0.0002350033284907,0.0457405209711626
2025-08-05 14:00:00+00:00,-0.0119069487546852,-0.0010006762006456,0.0382923416154533
2025-08-05 15:00:00+00:00,-0.0009265437831596,0.019037073375286,0.0552630954212545
2025-08-05 16:00:00+00:00,0.0020617314424247,0.0220095670885821,0.0602723858686102
2025-08-05 17:00:00+00:00,0.0040650129721363,0.0174536090590012,0.0559069614570653
2025-08-05 18:00:00+00:00,0.0001176036521499,0.0166647715266585,0.0487272591873953
2025-08-05 19:00:00+00:00,-0.0002296115186987,0.0158180110097901,0.0491116568643744
2025-08-05 20:00:00+00:00,0.0007116806023638,0.0146978245474465,0.0520200826737267
2025-08-05 21:00:00+00:00,-0.0008291766024069,0.0121813371755391,0.0556359588555207
2025-08-05 22:00:00+00:00,0.0031991190831581,0.0130673920385756,0.0540441331881834
2025-08-05 23:00:00+00:00,0.0014739005595522,0.0102740458489778,0.0523930807416322
2025-08-06 00:00:00+00:00,-0.0021028982791381,0.0078591394509856,0.0512480421986334
2025-08-06 01:00:00+00:00,-0.0005070540102523,0.0090911712689539,0.0498271379494433
2025-08-06 02:00:00+00:00,-0.0017207751767489,0.0084279242742169,0.048329008721341
2025-08-06 03:00:00+00:00,-0.0010371548242131,0.0084542820904715,0.0507546713025401
2025-08-06 04:00:00+00:00,-0.0007144940321472,0.0093117037494871,0.0511870127842184
2025-08-06 05:00:00+00:00,0.0062852908417237,0.0083255746279368,0.0507667762081731
2025-08-06 06:00:00+00:00,-0.0005520845444204,0.0039326544405475,0.0422188415546656
2025-08-06 07:00:00+00:00,0.0012661058034311,0.0052356307622188,0.0457616345552798
2025-08-06 08:00:00+00:00,-0.0025036783214093,0.0051661325974624,0.0458621690163952
2025-08-06 09:00:00+00:00,0.0013195095675299,0.0090645024245136,0.0522601773743551
2025-08-06 10:00:00+00:00,-0.0001829559660023,0.0086871619235794,0.0514938376737637
2025-08-06 11:00:00+00:00,0.0014124294828781,0.0199509343509513,0.0547676722012918
2025-08-06 12:00:00+00:00,-0.0028027566508401,0.0200476180306751,0.0540114507053668
2025-08-06 13:00:00+00:00,0.0031030722561287,0.0215536880649802,0.0543989264179346
2025-08-06 14:00:00+00:00,0.0081308008212466,0.0207929969205012,0.0636921776131371
2025-08-06 15:00:00+00:00,0.0020459499301365,0.0102372787336534,0.0484799859603369
2025-08-06 16:00:00+00:00,-0.0024942265871563,0.0111733046646551,0.0466484222771233
2025-08-06 17:00:00+00:00,0.0032761754397937,0.0099042923620592,0.0532955057704202
2025-08-06 18:00:00+00:00,-0.0007291568647186,0.0086941645623349,0.0532228304864138
2025-08-06 19:00:00+00:00,-0.0013497979810423,0.0099576975097067,0.0524920844313803
2025-08-06 20:00:00+00:00,-0.0018048067695435,0.0191127939152986,0.0630614350178194
