Model,Silhouette,DB Index,CH Index,Inertia,Parameters,Combined_Score
Agglomerative_average,0.39417665784111067,0.9507148359197914,61.30627809079045,,linkage=average,0.26102850594098254
Agglomerative_single,0.4132203009898914,0.41062466528297087,5.789298803104958,,linkage=single,0.2502479001151768
Agglomerative_complete,0.20702713440716877,1.4445095742410445,114.48463185455107,,linkage=complete,0.1700101333861217
KMeans_10_300_lloyd,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=10, max_iter=300, algorithm=lloyd",0.16738732353145008
KMeans_10_300_elkan,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=10, max_iter=300, algorithm=elkan",0.16738732353145008
KMeans_10_500_lloyd,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=10, max_iter=500, algorithm=lloyd",0.16738732353145008
KMeans_10_500_elkan,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=10, max_iter=500, algorithm=elkan",0.16738732353145008
KMeans_20_300_lloyd,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=20, max_iter=300, algorithm=lloyd",0.16738732353145008
KMeans_20_300_elkan,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=20, max_iter=300, algorithm=elkan",0.16738732353145008
KMeans_20_500_lloyd,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=20, max_iter=500, algorithm=lloyd",0.16738732353145008
KMeans_20_500_elkan,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=20, max_iter=500, algorithm=elkan",0.16738732353145008
KMeans_30_300_lloyd,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=30, max_iter=300, algorithm=lloyd",0.16738732353145008
KMeans_30_300_elkan,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=30, max_iter=300, algorithm=elkan",0.16738732353145008
KMeans_30_500_lloyd,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=30, max_iter=500, algorithm=lloyd",0.16738732353145008
KMeans_30_500_elkan,0.11281485031723329,2.2598465753813035,249.24603335277527,34747.2302259438,"n_init=30, max_iter=500, algorithm=elkan",0.16738732353145008
Agglomerative_ward,0.0855470486953836,2.613527298357427,199.7367728764881,,linkage=ward,0.1312229383678254
